datetime,teamperature,humidity

2022-02-18  22:32:00,24,36
2022-02-18  22:32:34,24,36
2022-02-18  22:33:07,24,36
2022-02-18  22:33:41,24,36
2022-02-18  22:34:14,24,36
2022-02-18  22:34:48,24,36
2022-02-18  22:35:21,24,36
2022-02-18  22:35:55,24,36
2022-02-18  22:36:28,24,36
2022-02-18  22:37:02,24,36
2022-02-18  22:37:35,24,36
2022-02-18  22:38:09,24,36
2022-02-18  22:38:42,24,36
2022-02-18  22:39:16,24,36
2022-02-18  22:39:49,24,36
2022-02-18  22:40:23,24,36
2022-02-18  22:40:56,24,36
2022-02-18  22:41:30,24,36
2022-02-18  22:42:03,24,36
2022-02-18  22:42:37,24,36
2022-02-18  22:43:10,24,36
2022-02-18  22:43:44,24,36
2022-02-18  22:44:17,23,36
2022-02-18  22:44:51,24,36
2022-02-18  22:45:24,23,36
2022-02-18  22:45:58,23,36
2022-02-18  22:46:31,23,36
2022-02-18  22:47:05,23,36
2022-02-18  22:47:38,23,36
2022-02-18  22:48:12,23,36
2022-02-18  22:48:45,23,36
2022-02-18  22:49:19,23,36
2022-02-18  22:49:52,23,36
2022-02-18  22:50:26,23,36
2022-02-18  22:50:59,23,36
2022-02-18  22:51:33,23,36
2022-02-18  22:52:06,23,36
2022-02-18  22:52:40,23,36
2022-02-18  22:53:13,23,36
2022-02-18  22:53:47,23,36
2022-02-18  22:54:20,23,36
2022-02-18  22:54:54,23,36
2022-02-18  22:55:27,23,36
2022-02-18  22:56:01,23,36
2022-02-18  22:56:34,23,36
2022-02-18  22:57:08,23,36
2022-02-18  22:57:41,23,36
2022-02-18  22:58:15,23,36
2022-02-18  22:58:48,23,36
2022-02-18  22:59:22,23,36
2022-02-18  22:59:55,23,36
2022-02-18  23:00:29,23,36
2022-02-18  23:01:02,23,36
2022-02-18  23:01:36,23,36
2022-02-18  23:02:09,23,36
2022-02-18  23:02:43,23,36
2022-02-18  23:03:16,23,36
2022-02-18  23:03:50,23,36
2022-02-18  23:04:23,23,36
2022-02-18  23:04:57,23,36
2022-02-18  23:05:30,23,36
2022-02-18  23:06:04,23,36
2022-02-18  23:06:37,23,36
2022-02-18  23:07:11,23,37
2022-02-18  23:07:44,23,36
2022-02-18  23:08:18,23,36
2022-02-18  23:08:51,23,36
2022-02-18  23:09:25,23,36
2022-02-18  23:09:58,23,36
2022-02-18  23:10:32,23,36
2022-02-18  23:11:05,23,36
2022-02-18  23:11:39,23,36
2022-02-18  23:12:12,23,37
2022-02-18  23:12:46,23,37
2022-02-18  23:13:19,23,37
2022-02-18  23:13:53,23,37
2022-02-18  23:14:26,23,37
2022-02-18  23:15:00,23,37
2022-02-18  23:15:34,23,37
2022-02-18  23:16:07,23,37
2022-02-18  23:16:41,23,37
2022-02-18  23:17:14,23,37
2022-02-18  23:17:48,23,37
2022-02-18  23:18:21,23,37
2022-02-18  23:18:55,23,37
